	paper_id	class_label
1	1061127	Rule_Learning
4	37879	Probabilistic_Methods
12	109323	Probabilistic_Methods
20	249858	Theory
37	182093	Reinforcement_Learning
59	696345	Neural_Networks
66	1481	Case_Based
71	4329	Probabilistic_Methods
77	158812	Neural_Networks
86	58268	Rule_Learning
92	434	Rule_Learning
134	45212	Neural_Networks
140	140005	Theory
154	1136393	Probabilistic_Methods
159	51866	Rule_Learning
167	39403	Reinforcement_Learning
178	1153866	Rule_Learning
181	239800	Theory
184	1129835	Rule_Learning
188	210871	Genetic_Algorithms
198	1114605	Neural_Networks
202	23502	Neural_Networks
212	1115375	Neural_Networks
215	1113934	Case_Based
248	714260	Probabilistic_Methods
262	81714	Genetic_Algorithms
265	164885	Genetic_Algorithms
298	7432	Reinforcement_Learning
300	1022969	Case_Based
319	27241	Rule_Learning
347	3187	Probabilistic_Methods
352	644334	Probabilistic_Methods
373	899119	Rule_Learning
384	286562	Neural_Networks
385	1123553	Reinforcement_Learning
402	1033	Genetic_Algorithms
404	1106849	Neural_Networks
416	645897	Probabilistic_Methods
419	559804	Probabilistic_Methods
420	6898	Neural_Networks
429	84020	Theory
434	1110531	Case_Based
453	12182	Theory
473	6170	Reinforcement_Learning
475	1109017	Genetic_Algorithms
477	6184	Reinforcement_Learning
478	10796	Case_Based
489	93555	Neural_Networks
490	17201	Reinforcement_Learning
495	74698	Probabilistic_Methods
522	358884	Neural_Networks
555	12238	Theory
569	2653	Theory
570	2658	Neural_Networks
577	28957	Probabilistic_Methods
581	1953	Case_Based
583	1959	Case_Based
612	943	Case_Based
619	1154230	Probabilistic_Methods
626	1154276	Neural_Networks
627	27530	Neural_Networks
633	28278	Reinforcement_Learning
647	1152858	Probabilistic_Methods
650	81350	Reinforcement_Learning
653	1120170	Reinforcement_Learning
654	46452	Rule_Learning
658	82098	Genetic_Algorithms
660	158614	Theory
673	1104191	Neural_Networks
680	1114352	Neural_Networks
689	66805	Genetic_Algorithms
691	55968	Reinforcement_Learning
692	368431	Theory
698	33412	Neural_Networks
702	1125258	Neural_Networks
719	77758	Neural_Networks
728	97390	Genetic_Algorithms
753	1129621	Neural_Networks
772	16008	Probabilistic_Methods
773	1122425	Reinforcement_Learning
801	67633	Case_Based
808	75695	Neural_Networks
827	242663	Probabilistic_Methods
847	45188	Theory
857	218682	Case_Based
860	62634	Genetic_Algorithms
889	1131236	Probabilistic_Methods
890	1112369	Neural_Networks
916	641976	Neural_Networks
933	1153056	Reinforcement_Learning
939	368657	Neural_Networks
941	263069	Genetic_Algorithms
961	265203	Genetic_Algorithms
965	56115	Genetic_Algorithms
970	96847	Genetic_Algorithms
979	131318	Neural_Networks
997	362926	Case_Based
1000	59045	Theory
1012	1113182	Reinforcement_Learning
1013	1131330	Probabilistic_Methods
1022	1131348	Neural_Networks
1023	14083	Neural_Networks
1030	1131360	Genetic_Algorithms
1038	145134	Neural_Networks
1058	278394	Neural_Networks
1096	1125597	Genetic_Algorithms
1110	1119708	Genetic_Algorithms
1147	642827	Probabilistic_Methods
1165	1115471	Rule_Learning
1173	69397	Theory
1181	102406	Theory
1184	54132	Genetic_Algorithms
1185	27243	Theory
1188	30973	Case_Based
1190	1106771	Neural_Networks
1208	1116922	Rule_Learning
1222	1116974	Neural_Networks
1224	415693	Genetic_Algorithms
1247	1140231	Neural_Networks
1271	66596	Case_Based
1280	943087	Theory
1290	23738	Theory
1292	137359	Rule_Learning
1295	232860	Neural_Networks
1300	626999	Neural_Networks
1317	1138091	Case_Based
1319	321004	Genetic_Algorithms
1329	3223	Probabilistic_Methods
1335	3233	Theory
1353	1102550	Genetic_Algorithms
1356	213279	Neural_Networks
1392	647315	Genetic_Algorithms
1403	1104769	Probabilistic_Methods
1421	191222	Neural_Networks
1442	136766	Rule_Learning
1447	1152740	Reinforcement_Learning
1449	309476	Theory
1459	117	Reinforcement_Learning
1468	192734	Theory
1499	636511	Theory
1501	1121569	Neural_Networks
1505	74749	Theory
1506	14430	Probabilistic_Methods
1508	1132434	Neural_Networks
1510	582511	Theory
1524	230884	Neural_Networks
1547	1154251	Neural_Networks
1554	70444	Case_Based
1558	576725	Genetic_Algorithms
1566	155736	Theory
1569	39127	Rule_Learning
1591	39199	Neural_Networks
1595	46491	Theory
1603	608292	Genetic_Algorithms
1604	1121603	Neural_Networks
1607	192850	Theory
1613	561581	Probabilistic_Methods
1620	94416	Rule_Learning
1621	5600	Case_Based
1628	583318	Genetic_Algorithms
1632	170338	Reinforcement_Learning
1637	1106370	Neural_Networks
1654	67584	Probabilistic_Methods
1659	756061	Neural_Networks
1672	13885	Neural_Networks
1707	470511	Case_Based
1733	1131167	Probabilistic_Methods
1737	117316	Genetic_Algorithms
1739	1106401	Probabilistic_Methods
1756	1114442	Genetic_Algorithms
1758	1121739	Reinforcement_Learning
1770	74937	Probabilistic_Methods
1781	155158	Rule_Learning
1802	683294	Probabilistic_Methods
1824	1118823	Theory
1829	1105011	Probabilistic_Methods
1838	289885	Probabilistic_Methods
1841	28489	Reinforcement_Learning
1858	1123215	Theory
1866	734406	Neural_Networks
1871	1123239	Neural_Networks
1888	1114526	Theory
1897	124734	Theory
1914	1106568	Neural_Networks
1921	87363	Genetic_Algorithms
1923	395547	Neural_Networks
1951	990075	Case_Based
1952	119686	Neural_Networks
1957	1129096	Reinforcement_Learning
1990	231198	Neural_Networks
1991	1131334	Probabilistic_Methods
2001	1131359	Genetic_Algorithms
2004	1107319	Theory
2012	1111788	Neural_Networks
2019	124828	Neural_Networks
2029	987188	Neural_Networks
2033	1113926	Case_Based
2040	51180	Theory
2044	100197	Neural_Networks
2052	22869	Case_Based
2071	135798	Case_Based
2108	90470	Probabilistic_Methods
2121	617378	Neural_Networks
2124	684986	Probabilistic_Methods
2128	58436	Genetic_Algorithms
2129	278403	Neural_Networks
2138	643597	Neural_Networks
2140	1129994	Probabilistic_Methods
2148	49753	Probabilistic_Methods
2157	521269	Case_Based
2166	189571	Probabilistic_Methods
2169	189574	Probabilistic_Methods
2172	1119078	Rule_Learning
2179	95594	Reinforcement_Learning
2200	486840	Reinforcement_Learning
2211	578650	Genetic_Algorithms
2212	1130069	Neural_Networks
2213	1127851	Rule_Learning
2214	124224	Neural_Networks
2217	1127863	Rule_Learning
2232	286500	Genetic_Algorithms
2240	1105360	Case_Based
2242	632796	Probabilistic_Methods
2245	47684	Case_Based
2270	107569	Neural_Networks
2273	1132285	Theory
2281	1131565	Genetic_Algorithms
2289	1108258	Case_Based
2304	270600	Theory
2316	801170	Genetic_Algorithms
2351	258259	Neural_Networks
2367	31083	Probabilistic_Methods
2376	1114192	Neural_Networks
2382	1120786	Neural_Networks
2384	180301	Probabilistic_Methods
2414	1154124	Neural_Networks
2434	189774	Probabilistic_Methods
